[2025-07-18 23:46:59] [INFO] infrastructure.kafka_consumer: Esperando mensajes de TLE...
[2025-07-18 23:47:07] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:07] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:08] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:08] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:08] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:08] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:08] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:08] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:08] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:09] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:09] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:09] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:09] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:10] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:11] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:11] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:12] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:12] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:12] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:12] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:12] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:12] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:12] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:13] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:13] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:42] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:42] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:43] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:43] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
[2025-07-18 23:47:43] [INFO] infrastructure.kafka_consumer: Mensaje procesado con éxito.
